accuracy,loss,val_accuracy,val_loss
0.20765282213687897,0.1387658417224884,0.375,2.3773834705352783
0.4918338656425476,0.09103111177682877,0.5522388219833374,1.6185503005981445
0.6682221293449402,0.06186371669173241,0.625,1.3843318223953247
0.7335510849952698,0.04896122217178345,0.7014925479888916,1.1817436218261719
0.7904806137084961,0.03954455628991127,0.6679104566574097,1.2043039798736572
0.8170788884162903,0.034067004919052124,0.72947758436203,1.0676594972610474
0.844610333442688,0.029648490250110626,0.7406716346740723,1.0242998600006104
0.869342029094696,0.02550203539431095,0.7444030046463013,0.9733008742332458
0.8898739814758301,0.02196812815964222,0.766791045665741,0.9329734444618225
0.8982734680175781,0.019386019557714462,0.7723880410194397,0.9346199631690979
0.9192720651626587,0.01615944318473339,0.7723880410194397,0.9247695207595825
0.9356042742729187,0.01415117084980011,0.77052241563797,0.912260115146637
0.9421371817588806,0.012571916915476322,0.7910447716712952,0.8891054391860962
0.9477367997169495,0.010991819202899933,0.8003731369972229,0.8871446251869202
0.9598693251609802,0.009241010062396526,0.7947761416435242,0.8883872032165527
0.9668688774108887,0.008213778957724571,0.8059701323509216,0.8897374868392944
0.9724684953689575,0.006660609971731901,0.7891790866851807,0.8952895402908325
0.9790014028549194,0.0056947506964206696,0.8022388219833374,0.8759161233901978
0.9864675402641296,0.005038290284574032,0.7929104566574097,0.8814600110054016
0.9841343760490417,0.004682620521634817,0.7947761416435242,0.8806642889976501
0.9892674088478088,0.00397911574691534,0.7947761416435242,0.9437629580497742
0.9897339940071106,0.0035556266084313393,0.7929104566574097,0.9079000949859619
0.9930004477500916,0.0028434181585907936,0.8115671873092651,0.8906154632568359
0.9948670268058777,0.0025630577001720667,0.7966417670249939,0.9457079172134399
0.996733546257019,0.002191661624237895,0.7854477763175964,1.0105782747268677
0.9948670268058777,0.0023100024554878473,0.8022388219833374,0.9624598622322083
0.995800256729126,0.0018204407533630729,0.8078358173370361,0.9455127120018005
0.9981334805488586,0.0015938245924189687,0.8190298676490784,0.9374633431434631
0.9972001910209656,0.001528225839138031,0.8171641826629639,0.9518585205078125
0.9995333552360535,0.0012085647322237492,0.8152984976768494,1.0006771087646484
0.9986000657081604,0.0011752346763387322,0.8152984976768494,0.9698998928070068
0.9986000657081604,0.0011107884347438812,0.8115671873092651,1.0149166584014893
0.9990667104721069,0.0009467261261306703,0.8190298676490784,1.0102217197418213
0.9986000657081604,0.000943905848544091,0.8208954930305481,1.030215859413147
1.0,0.0007520467042922974,0.8227611780166626,1.059779405593872
0.9981334805488586,0.0009089926606975496,0.8227611780166626,1.0281099081039429
0.9995333552360535,0.0009279887308366597,0.8134328126907349,1.0530810356140137
0.9995333552360535,0.0006929297815077007,0.8264925479888916,1.026595115661621
0.9990667104721069,0.00065606739372015,0.8264925479888916,1.011509895324707
0.9990667104721069,0.0006652692100033164,0.8283582329750061,1.0866522789001465
0.9995333552360535,0.0005402263486757874,0.8339552283287048,1.0207784175872803
1.0,0.00045925655285827816,0.8339552283287048,1.043277621269226
1.0,0.0004250051570124924,0.8227611780166626,1.107542634010315
1.0,0.0003947144723497331,0.8283582329750061,1.071427583694458
0.9976668357849121,0.0005764905363321304,0.7985074520111084,1.0941197872161865
0.9990667104721069,0.0005677861627191305,0.8227611780166626,1.103237509727478
1.0,0.0003505523200146854,0.8190298676490784,1.0892229080200195
0.9976668357849121,0.000615219643805176,0.8134328126907349,1.0826886892318726
